ear,head_pose,mouth_ratio,label,source
0.096833,0.087719,0.003746,0,Bored
0.076852,0.105908,0.005719,0,Bored
0.146107,0.11002,0.010214,0,Bored
0.162311,0.102201,0.008811,0,Bored
0.234798,0.106785,0.031666,0,Bored
0.156563,0.114579,0.014566,0,Bored
0.146056,0.061136,0.001014,0,Bored
0.032361,0.017295,0.005355,0,Bored
0.043543,0.015877,0.002969,0,Bored
0.041103,0.014085,0.003717,0,Bored
0.032095,0.003779,0.006464,0,Bored
0.035338,0.011086,0.003565,0,Bored
0.051145,0.005468,0.003997,0,Bored
0.063213,0.004529,0.000255,0,Bored
0.160673,0.011724,0.003023,0,Bored
0.212073,0.002919,0.00089,0,Bored
0.234297,0.008717,0.00602,0,Bored
0.238087,0.005949,0.003673,0,Bored
0.248666,0.004335,0.000754,0,Bored
0.246612,0.011257,0.006692,0,Bored
0.246266,0.021208,0.009515,0,Bored
0.242553,0.021969,0.006181,0,Bored
0.256358,0.023675,0.008235,0,Bored
0.248607,0.031527,0.004961,0,Bored
0.260308,0.035778,0.013609,0,Bored
0.31268,0.047958,0.01091,0,Bored
0.318579,0.0399,0.005568,0,Bored
0.334372,0.03597,0.032734,0,Bored
0.309774,0.038968,0.006874,0,Bored
0.318867,0.035974,0.005583,0,Bored
0.330237,0.018119,0.008138,0,Bored
0.2194,0.044786,8.5e-05,0,Drowsy
0.123552,0.036907,0.000185,0,Drowsy
0.060328,0.035064,0.002153,0,Drowsy
0.068088,0.011737,0.000219,0,Drowsy
0.153172,0.011446,0.001247,0,Drowsy
0.254378,0.007664,0.005442,0,Drowsy
0.244853,0.006615,0.003268,0,Drowsy
0.042168,0.020284,0.004197,0,Drowsy
0.04711,0.021351,0.001474,0,Drowsy
0.044789,0.022861,0.004104,0,Drowsy
0.073047,0.024218,0.00573,0,Drowsy
0.085081,0.026291,0.004046,0,Drowsy
0.092622,0.027635,0.005083,0,Drowsy
0.080127,0.030066,0.004237,0,Drowsy
0.104617,0.030827,0.004228,0,Drowsy
0.099906,0.030927,0.005412,0,Drowsy
0.153833,0.034566,0.002397,0,Drowsy
0.163691,0.036747,0.003663,0,Drowsy
0.05888,0.011137,0.004691,0,Drowsy
0.187794,0.035911,0.004639,0,Drowsy
0.099964,0.072173,0.179346,0,Drowsy
0.064773,0.063892,0.080933,0,Drowsy
0.056527,0.062956,0.013322,0,Drowsy
0.220885,0.027791,0.005085,0,Drowsy
0.212492,0.032367,0.003091,0,Drowsy
0.205356,0.030265,0.002374,0,Drowsy
0.118131,0.03241,0.004703,0,Drowsy
0.0955,0.031331,0.00222,0,Drowsy
0.102437,0.036462,0.006454,0,Drowsy
0.092528,0.03341,0.002965,0,Drowsy
0.06793,0.037292,0.001379,0,Drowsy
0.048684,0.034189,0.000302,0,Drowsy
0.043277,0.035498,0.001534,0,Drowsy
0.052589,0.030715,0.000887,0,Drowsy
0.033699,0.026579,0.006158,0,Drowsy
0.093906,0.02093,0.003449,0,Drowsy
0.058726,0.029675,0.000545,0,Drowsy
0.051149,0.018296,0.003172,0,Drowsy
0.046914,0.022028,0.002152,0,Drowsy
0.039818,0.019119,0.000912,0,Drowsy
0.044547,0.018821,0.000596,0,Drowsy
0.047154,0.017321,9.5e-05,0,Drowsy
0.042004,0.012921,0.00183,0,Drowsy
0.049672,0.027444,8.9e-05,0,Drowsy
0.051184,0.020477,0.001758,0,Drowsy
0.04323,0.012762,0.000502,0,Drowsy
0.046751,0.017418,0.003463,0,Drowsy
0.041487,0.01951,0.002165,0,Drowsy
0.050098,0.013026,0.002101,0,Drowsy
0.057461,0.019298,0.002055,0,Drowsy
0.043288,0.01608,0.001218,0,Drowsy
0.051712,0.015021,0.001052,0,Drowsy
0.033988,0.045397,0.027444,0,Drowsy
0.050241,0.039908,0.065979,0,Drowsy
0.09029,0.052884,0.139008,0,Drowsy
0.048785,0.016163,0.002094,0,Drowsy
0.050704,0.013012,0.000529,0,Drowsy
0.053845,0.012647,0.000551,0,Drowsy
0.061456,0.005148,0.001487,0,Drowsy
0.04853,0.00116,0.002487,0,Drowsy
0.073605,0.012131,0.001102,0,Drowsy
0.095224,0.021986,0.005013,0,Drowsy
0.137684,0.02567,0.001431,0,Drowsy
0.112922,0.038998,0.003226,0,Drowsy
0.183917,0.072338,0.005702,0,Drowsy
0.185744,0.076229,0.003022,0,Drowsy
0.142954,0.001667,0.127554,0,Drowsy
0.120933,0.016823,0.126013,0,Drowsy
0.132824,0.03501,0.002802,0,Drowsy
0.093088,0.037502,0.008361,0,Drowsy
0.082179,0.033025,0.002896,0,Drowsy
0.087374,0.034071,0.008083,0,Drowsy
0.095022,0.037744,0.006248,0,Drowsy
0.076148,0.034657,0.004251,0,Drowsy
0.073072,0.03952,0.006034,0,Drowsy
0.095292,0.041375,0.004045,0,Drowsy
0.08248,0.030348,0.004281,0,Drowsy
0.056158,0.033691,0.004782,0,Drowsy
0.034505,0.028625,0.001868,0,Drowsy
0.038471,0.030841,0.002507,0,Drowsy
0.040744,0.033173,0.00083,0,Drowsy
0.035685,0.033768,0.003657,0,Drowsy
0.036438,0.037159,0.001703,0,Drowsy
0.036381,0.038246,0.001355,0,Drowsy
0.037795,0.036952,0.004075,0,Drowsy
0.030458,0.037449,0.003601,0,Drowsy
0.039922,0.039778,0.004597,0,Drowsy
0.033809,0.033409,0.000939,0,Drowsy
0.023727,0.041244,0.001478,0,Drowsy
0.026083,0.039891,0.001915,0,Drowsy
0.041113,0.04167,0.000853,0,Drowsy
0.035216,0.043095,0.000337,0,Drowsy
0.033185,0.040923,0.002244,0,Drowsy
0.039392,0.045229,0.003759,0,Drowsy
